Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
60, 1.00000, 7199.41, -0.0013101, 7199.41, -120.001, 7199.41, 119.999, 0, 0, 288.735, -28.8009, 288.735, -148.801, 288.735, 91.1991, 5.63466E-008, -148.803
180, 3.00000, 0.0552906, 171.377, 0.0552906, 171.377, 0.0552906, 171.377, 0, 0, 24.7849, -92.283, 24.7849, -92.283, 24.7849, -92.283, 74.3548, 87.717
300, 5.00000, 0.622967, 114.849, 0.622967, -125.151, 0.622967, -5.15066, 0, 0, 164.974, -152.288, 164.974, -32.2883, 164.974, 87.7117, 1.60827E-007, 147.621
420, 7.00000, 0.579251, 55.574, 0.579251, -64.426, 0.579251, 175.574, 0, 0, 109.636, 147.619, 109.636, 27.6194, 109.636, -92.3806, 1.49633E-007, 27.7107
540, 9.00000, 0.0255488, -4.64737, 0.0255488, -4.64737, 0.0255488, -4.64737, 0, 0, 3.83842, 87.4737, 3.83842, 87.4737, 3.83842, 87.4737, 11.5153, -92.5263
660, 11.00000, 0.150497, -63.9761, 0.150497, 56.0239, 0.150497, 176.024, 0, 0, 18.1336, 27.3259, 18.1336, 147.326, 18.1336, -92.6741, 3.88913E-008, -32.7651
780, 13.00000, 0.0772758, -123.893, 0.0772758, 116.107, 0.0772758, -3.89279, 0, 0, 7.87919, -32.7911, 7.87919, -152.791, 7.87919, 87.2089, 1.9971E-008, -152.7
900, 15.00000, 0.013232, 175.871, 0.013232, 175.871, 0.013232, 175.871, 0, 0, 1.1933, -92.8563, 1.1933, -92.8563, 1.1933, -92.8563, 3.57989, 87.1437
