Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
60, 1.00000, 7199.41, -0.00126274, 7199.41, -120.001, 7199.41, 119.999, 0, 0, 277.794, -28.6887, 277.794, -148.689, 277.794, 91.3113, 8.90809E-007, 159.467
180, 3.00000, 9.19597E-012, -96.7033, 2.20312E-013, -96.7048, 9.41628E-012, 83.2966, 0, 0, 4.04981E-009, -1.93968, 9.70232E-011, -1.94111, 4.14684E-009, 178.06, 8.11336E-028, -5.35582
300, 5.00000, 0.599374, 115.422, 0.599374, -124.578, 0.599374, -4.5783, 0, 0, 158.726, -151.716, 158.726, -31.7159, 158.726, 88.2841, 1.42059E-017, 77.6609
420, 7.00000, 0.557313, 56.3753, 0.557313, -63.6247, 0.557313, 176.375, 0, 0, 105.484, 148.421, 105.484, 28.4207, 105.484, -91.5793, 8.18267E-018, -122.005
540, 9.00000, 1.27782E-011, 86.9127, 3.0611E-013, 86.9122, 1.30843E-011, -93.0873, 0, 0, 1.88157E-009, 178.504, 4.50743E-011, 178.503, 1.92664E-009, -1.49616, 2.02834E-028, -5.35582
660, 11.00000, 0.144797, -62.7169, 0.144797, 57.2831, 0.144797, 177.283, 0, 0, 17.4469, 28.5851, 17.4469, 148.585, 17.4469, -91.4149, 3.57622E-018, -104.036
780, 13.00000, 0.0743491, -122.405, 0.0743491, 117.595, 0.0743491, -2.40463, 0, 0, 7.58078, -31.3029, 7.58078, -151.303, 7.58078, 88.6971, 1.22663E-018, 45
900, 15.00000, 1.1032E-011, -92.0943, 2.64257E-013, -92.0947, 1.12962E-011, 87.9057, 0, 0, 9.74908E-010, -1.13943, 2.33526E-011, -1.1399, 9.98261E-010, 178.861, 3.15544E-030, -90
