Frequency,BASF_R1,BASF_R2,NORDL,BASF_R100,BASF_R200,BASF_R1000,BASF_R500,BASF_R700,BASF_R800,ZANDV
0,0.0275727125852521,0.0300625702364955,0.0411902892622923,0.00365485601819666,0.0215234417127451,0.00365485615706046,0.0036548376626197,0.00365483771508898,0.00365483415011194,0.0228132976860338
2,0.13712457731038,0.137972508301111,0.143099254745935,0.0531311556722814,0.08133192033506,0.0515121235014684,0.0510196024282862,0.0509666977981482,0.0517814939745909,0.133274226480618
4,0.235527064548163,0.236232742904056,0.239606571482647,0.0981927472336411,0.153322023075003,0.0897012048904885,0.0939728947544804,0.0937148510624717,0.0951733651481696,0.232468070531298
6,0.334988583311378,0.335612644391117,0.338032588578887,0.138213354121668,0.226937371872308,0.121353163011995,0.132471710146314,0.131801844478275,0.134754657084956,0.331699823848582
8,0.433930474119843,0.434516304399842,0.436244974832891,0.174401496422315,0.300949222290889,0.15073842414081,0.167597818334789,0.166298603730672,0.171131282558702,0.430191985126255
10,0.532791106964374,0.533352677218707,0.534511482535606,0.208348453672731,0.37513457581554,0.179756984340375,0.200800352031885,0.198698252316353,0.205498624656268,0.528525377088034
12,0.631868897967697,0.632410754219951,0.633069206912465,0.241175254239661,0.449424808500662,0.208992082340575,0.233077101085298,0.230055129069006,0.238783190319682,0.62704049533618
14,0.73127301212389,0.731796686252049,0.731999642078515,0.273536945425862,0.523789414312785,0.238566947172621,0.264995890689538,0.260983909465366,0.271566507174483,0.7258630242206
16,0.831020152174917,0.831526099745884,0.831304770548662,0.305780955863474,0.598211588437867,0.268466668116481,0.296849291502953,0.291809415437498,0.304177581734951,0.825017284499609
18,0.931092581746977,0.931580900850964,0.930958268740662,0.33807847172376,0.672681115568592,0.29864319022417,0.328776408204652,0.32269088497677,0.33678989768417,0.924489410977416
20,1.03146393340098,1.03193467930739,1.03092847879943,0.370506195233263,0.747191560919437,0.329047292629324,0.360836189471812,0.353699083859008,0.369488477593841,1.02425514249298
22,1.13210914476235,1.13256246514898,1.13118693309975,0.403092176760535,0.8217388711038,0.3596369706271,0.393047437516344,0.384859398214642,0.402310227919643,1.12429063484581
24,1.23300760677788,1.23344378480469,1.23171072985476,0.435840359981358,0.896320572627633,0.390378448788345,0.425409727781476,0.416174840723733,0.435266770828383,1.22457603152824
26,1.33414364381858,1.33456309474077,1.33248257328184,0.468743426544214,0.970935275915137,0.421245128829803,0.457914102045065,0.447638050846107,0.468356980612334,1.32509615760611
