Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
60, 1.00000, 7199.41, -0.0013101, 7199.41, -120.001, 7199.41, 119.999, 4.68337E-007, 60, 288.735, -28.8009, 288.735, -148.801, 288.735, 91.1991, 1.46408E-012, 63.5523
180, 3.00000, 9.80176E-012, -109.24, 3.84085E-012, -15.3286, 1.02806E-011, 92.6444, 4.03897E-028, -93.1798, 4.3166E-009, -14.4762, 1.69147E-009, 79.435, 4.52748E-009, -172.592, 1.5312E-028, -19.2519
300, 5.00000, 0.622967, 114.849, 0.622967, -125.151, 0.622967, -5.15066, 6.20634E-017, 24.6559, 164.974, -152.288, 164.974, -32.2883, 164.974, 87.7117, 6.45406E-018, 79.6227
420, 7.00000, 0.579251, 55.574, 0.579251, -64.426, 0.579251, 175.574, 3.27307E-017, -149.359, 109.636, 147.619, 109.636, 27.6194, 109.636, -92.3806, 6.36285E-018, -78.2856
540, 9.00000, 1.33472E-011, 81.7627, 1.92098E-012, 152.293, 1.41042E-011, -90.8595, 8.07892E-028, -90.1657, 1.96536E-009, 173.354, 2.82862E-010, -116.116, 2.07683E-009, 0.731605, 1.73557E-028, -175.979
660, 11.00000, 0.150497, -63.9761, 0.150497, 56.0239, 0.150497, 176.024, 1.39858E-017, 6.25697, 18.1336, 27.3259, 18.1336, 147.326, 18.1336, -92.6741, 2.44156E-018, -85.4004
780, 13.00000, 0.0772758, -123.893, 0.0772758, 116.107, 0.0772758, -3.89279, 1.04083E-017, -0.734521, 7.87919, -32.7911, 7.87919, -152.791, 7.87919, 87.2089, 2.44973E-019, -83.6475
900, 15.00000, 1.15042E-011, -96.2859, 1.12787E-012, -39.8576, 1.21643E-011, 88.1448, 1.26218E-029, -0.636593, 1.01664E-009, -5.3311, 9.9671E-011, 51.0972, 1.07497E-009, 179.1, 3.10989E-030, 90
