Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
60, 1.00000, 7199.41, -0.0013101, 7199.41, -120.001, 7199.41, 119.999, 0, 0, 288.735, -28.8009, 288.735, -148.801, 288.735, 91.1991, 8.90809E-007, 159.467
180, 3.00000, 9.80176E-012, -109.24, 3.84086E-012, -15.3286, 1.02806E-011, 92.6444, 0, 0, 4.3166E-009, -14.4762, 1.69148E-009, 79.435, 4.52748E-009, -172.592, 4.04685E-028, -3.57633
300, 5.00000, 0.622967, 114.849, 0.622967, -125.151, 0.622967, -5.15066, 0, 0, 164.974, -152.288, 164.974, -32.2883, 164.974, 87.7117, 2.43016E-017, 145.176
420, 7.00000, 0.579251, 55.574, 0.579251, -64.426, 0.579251, 175.574, 0, 0, 109.636, 147.619, 109.636, 27.6194, 109.636, -92.3806, 1.69136E-017, 0
540, 9.00000, 1.33472E-011, 81.7627, 1.92099E-012, 152.292, 1.41043E-011, -90.8595, 0, 0, 1.96536E-009, 173.354, 2.82864E-010, -116.117, 2.07684E-009, 0.731595, 1.26218E-029, -90
660, 11.00000, 0.150497, -63.9761, 0.150497, 56.0239, 0.150497, 176.024, 0, 0, 18.1336, 27.3259, 18.1336, 147.326, 18.1336, -92.6741, 1.76495E-018, -100.62
780, 13.00000, 0.0772758, -123.893, 0.0772758, 116.107, 0.0772758, -3.89279, 0, 0, 7.87919, -32.7911, 7.87919, -152.791, 7.87919, 87.2089, 5.26285E-019, 55.4915
900, 15.00000, 1.15042E-011, -96.286, 1.12788E-012, -39.8586, 1.21643E-011, 88.1448, 0, 0, 1.01664E-009, -5.33111, 9.96723E-011, 51.0963, 1.07497E-009, 179.1, 7.88861E-030, 90
