Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
60, 1.00000, 7199.41, -0.0013101, 7199.41, -120.001, 7199.41, 119.999, 4.68337E-007, 60, 288.735, -28.8009, 288.735, -148.801, 288.735, 91.1991, 1.46408E-012, 63.5523
180, 3.00000, 9.80176E-012, 175.76, 3.84085E-012, -90.3286, 1.02806E-011, 17.6444, 2.01948E-028, 86.8202, 4.3166E-009, -89.4762, 1.69147E-009, 4.43503, 4.52748E-009, 112.408, 4.39487E-028, -113.217
300, 5.00000, 0.622967, -75.1507, 0.622967, 44.8493, 0.622967, 164.849, 8.44153E-017, 168.629, 164.974, 17.7117, 164.974, 137.712, 164.974, -102.288, 1.81617E-017, -148.377
420, 7.00000, 0.579251, 52.574, 0.579251, -67.426, 0.579251, 172.574, 3.1225E-017, -91.3639, 109.636, 144.619, 109.636, 24.6194, 109.636, -95.3806, 1.43221E-017, -75.6912
540, 9.00000, 1.33472E-011, -146.237, 1.92098E-012, -75.7073, 1.41042E-011, 41.1405, 1.45627E-027, 32.6292, 1.96536E-009, -54.6461, 2.82862E-010, 15.8838, 2.07683E-009, 132.732, 1.36802E-028, 161.58
660, 11.00000, 0.150497, 179.024, 0.150497, -60.9761, 0.150497, 59.0239, 6.93889E-018, 89.132, 18.1336, -89.6741, 18.1336, 30.3259, 18.1336, 150.326, 2.62545E-018, 82.3504
780, 13.00000, 0.0772758, 155.107, 0.0772758, 35.1072, 0.0772758, -84.8928, 1.66615E-017, -142.075, 7.87919, -113.791, 7.87919, 126.209, 7.87919, 6.20892, 8.80756E-019, 106.047
900, 15.00000, 1.15042E-011, 77.7141, 1.12787E-012, 134.142, 1.21643E-011, -97.8552, 1.00974E-028, 179.363, 1.01664E-009, 168.669, 9.96709E-011, -134.903, 1.07497E-009, -6.90037, 2.0232E-028, -3.47334
