Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
60, 1.00000, 7199.41, -0.00126274, 7199.41, -120.001, 7199.41, 119.999, 0, 0, 277.794, -28.6887, 277.794, -148.689, 277.794, 91.3113, 5.42126E-008, -148.688
180, 3.00000, 0.0531965, 171.72, 0.0531965, 171.72, 0.0531965, 171.72, 0, 0, 23.8462, -91.9396, 23.8462, -91.9396, 23.8462, -91.9396, 71.5387, 88.0604
300, 5.00000, 0.599374, 115.422, 0.599374, -124.578, 0.599374, -4.5783, 0, 0, 158.726, -151.716, 158.726, -31.7159, 158.726, 88.2841, 1.54736E-007, 148.193
420, 7.00000, 0.557313, 56.3753, 0.557313, -63.6247, 0.557313, 176.375, 0, 0, 105.484, 148.421, 105.484, 28.4207, 105.484, -91.5793, 1.43966E-007, 28.5119
540, 9.00000, 0.0245812, -3.61711, 0.0245812, -3.61711, 0.0245812, -3.61711, 0, 0, 3.69305, 88.504, 3.69305, 88.504, 3.69305, 88.504, 11.0791, -91.496
660, 11.00000, 0.144797, -62.7169, 0.144797, 57.2831, 0.144797, 177.283, 0, 0, 17.4468, 28.5851, 17.4468, 148.585, 17.4468, -91.4149, 3.74184E-008, -31.5059
780, 13.00000, 0.0743491, -122.405, 0.0743491, 117.595, 0.0743491, -2.40463, 0, 0, 7.58078, -31.3029, 7.58078, -151.303, 7.58078, 88.6971, 1.92146E-008, -151.212
900, 15.00000, 0.0127308, 177.588, 0.0127308, 177.588, 0.0127308, 177.588, 0, 0, 1.1481, -91.1392, 1.1481, -91.1392, 1.1481, -91.1392, 3.44431, 88.8608
